Color,display name
5,VTI1
6,YMR196W
3,QCR7
0,CIK1
2,MRPL24
-5,RPL36A
8,HSC82
0,SGS1
8,EMI2
0,GCV2
0,SLF1
-6,SPT21
2,LPP1
-6,GIN4
-7,GUA1
0,UBP8
4,UBC8
0,FMP42
0,CEF1
0,EFR3
0,PFK2
-1,ERG2
0,INP1
0,TOM40
0,ANP1
0,MCM3
-5,ZRC1
5,CYC7
-8,FAA4
0,CUS1
-5,SNU13
-8,RNT1
-7,RPL20A
0,ECM10
0,BUD16
0,GEA2
-2,PEP5
2,BCH1
8,RIP1
0,RNA1
0,TAF7
0,MMS21
-5,RPS10B
0,EAF5
-2,RRP5
0,NPR2
1,PRP24
0,RRN9
-3,MAK10
0,TPS3
0,VMA8
-5,POL5
0,SAP30
-5,RPL12A
1,COX7
-5,IES6
0,RML2
-5,TIF11
1,YEF1
0,YEL043W
-8,NUG1
0,DSS1
0,SEC3
-8,HAS1
0,TMA20
0,MRPL33
0,NOP16
1,YKU70
0,FCP1
1,DSK2
0,CAT8
0,SCS7
3,URA10
0,BUL1
0,ZDS1
-8,YMR310C
-8,NIP1
-1,ELP6
4,GLC8
-6,ARB1
0,FKS3
2,GAL83
-6,PSE1
0,YPT31
4,GPA2
3,ADH2
0,SBH2
-6,GCD11
3,UBP15
5,PRC1
0,JNM1
0,SPC25
-6,ATM1
0,FAA2
-8,RLP7
-5,RPL34A
-6,DOM34
4,LST8
0,MRP7
-1,HOM3
2,ERG28
-8,TPA1
8,KRE29
1,TGL3
-3,SAH1
-1,SBH1
3,SSN8
-6,FAP1
-5,ILV1
0,HHF2
2,DOT6
1,AIM10
-8,UTP7
-2,ALD5
1,SPO1
-8,RNR1
-2,PTP3
-3,HEF3
-5,RPS24A
0,ASI3
8,SIS1
-1,SHO1
-8,NOP2
-5,RPL23B
3,YDJ1
-8,GCD10
0,GLE2
0,VAC7
0,MAM1
0,SWI4
-7,KAP123
8,POR1
-2,SFB2
-5,RPS8B
0,SLM2
-2,NUP157
1,COX5A
9,SSA4
0,TSC11
0,SIW14
3,SHC1
-1,SPT15
0,END3
8,SPI1
-2,TOP2
-3,PEA2
0,SWS2
0,LSM5
0,PMS1
-5,RPS26B
-3,RNH201
5,COX15
-8,IMP4
-8,NSA2
-5,RPL16B
-5,RPL9B
-8,LCP5
0,RPH1
-8,RPC19
-10,DBP2
-2,RAD3
0,YAF9
0,INP52
-2,CYB5
-5,PAB1
-8,NOP15
2,RAD4
0,COG3
3,RAS2
-5,RPS7B
0,BUR6
0,POL1
0,OCA1
0,UBP3
0,NST1
0,PET122
2,YPT53
-6,SPB4
1,SRV2
0,FPR1
-3,SPC98
-8,KRE33
1,CPT1
0,PDA1
0,YNL122C
3,BMH1
0,TOM70
0,DMC1
0,GRX4
0,DMA2
0,BRR2
0,ECM32
-5,NCS2
0,EPL1
-6,RIA1
0,APC1
0,CAK1
3,ASI2
2,LPD1
0,PGA1
8,MDJ1
-5,RPL42A
1,GAT1
-5,RPC31
0,YFL012W
-2,GIM3
0,MEP2
-1,VTC2
-8,AAH1
0,MSH4
0,SNZ3
0,SRP1
0,DUG3
0,FET5
0,MRPL19
-9,IPI3
5,OTU1
0,MOB2
-6,RPL22B
8,MDG1
0,ACT1
-5,RPS3
2,RPO41
0,IES2
1,YFR016C
8,GSY1
2,PEX17
1,FAB1
-5,YNL217W
-1,RAP1
-5,SSB2
0,GCN20
1,UBP6
-5,LOC1
-2,SPS18
1,RIO2
3,YPI1
-2,NIC96
0,RTT106
0,DDI2
0,SNO3
-2,WHI3
0,SIN4
0,CNN1
9,HXK1
0,KEX2
1,RPN12
0,ELA1
-1,IRC5
0,URE2
0,CDC26
0,CSL4
2,KEG1
0,SMC2
0,MET10
2,QCR6
-2,JJJ1
-5,RPL2A
0,PES4
1,ATG18
0,SQS1
1,PTR3
5,LSB3
0,POP1
1,IST1
1,PDR17
0,PIK1
0,JAC1
-2,PMA1
-5,GIS2
4,PMC1
-2,NRD1
-6,PUF4
-1,POL2
0,ERG4
0,SUI1
0,CDH1
0,ERG26
1,SLA2
-8,RPA49
0,COG7
2,RPN14
-1,NAR1
0,ATG2
5,ZWF1
0,RAD6
-2,SDS23
0,WSC2
0,DUO1
0,PCL1
0,SEC21
0,RIM8
0,ERG24
-6,POP3
-8,OLE1
4,HCH1
0,TOF1
-2,AGA2
4,MIG1
-8,CGR1
0,BNI1
-5,RPL24A
-5,RPL30
0,SPC105
0,USE1
0,MAD1
0,RPS19B
-8,KRI1
2,MMS2
0,YPT11
0,AFT1
-2,MON2
-2,RPB9
-8,DBP3
-5,RPL18B
-8,TRF5
-5,RPL7A
-3,PUS4
0,MID1
0,SGF73
1,RIM21
5,MSB3
0,NAB2
5,GPG1
0,MON1
-5,RPS2
1,SNZ2
0,SLD3
0,DDI3
-8,PRP43
0,SNO2
0,YGL108C
0,LEM3
-6,NSA1
0,RPD3
-5,LSG1
0,PFS2
-5,RPL28
-5,RPL9A
0,INO80
0,PRP2
0,CSE2
-6,URK1
4,ITC1
2,ATG3
0,VPS27
-5,NRM1
-5,RPL1B
0,PCL10
1,SOH1
3,MET13
8,CIT1
-5,RPC34
0,BUD13
-8,DBP6
5,ATG1
-6,AGA1
8,SOL1
1,ABZ1
-8,ROK1
2,RSM19
10,SPO74
2,ARC35
2,YIP5
0,YNR029C
0,PPG1
0,SSK2
0,RAD54
0,SNF12
0,CDC43
1,LYS5
0,RCK1
0,BUD17
8,AMS1
2,YIP4
0,CHC1
0,POX1
0,GCN1
2,COX13
0,MDS3
-2,BRE5
-7,ESF2
-5,RPS26A
1,COX4
-8,NOG2
-6,TRM112
1,GTS1
0,MSO1
0,YNR048W
0,OST5
-8,RCL1
0,MDM12
0,VID30
2,MDM34
0,TOP1
0,RPB11
0,VAM7
0,PHO80
8,SIP2
0,SPT16
-3,NCS6
0,SMC5
4,RMR1
0,MSE1
-2,FZF1
-5,RPS15
-5,RPP2A
0,HXK2
-5,RAI1
-6,DIS3
0,ZIP2
0,TLG2
0,TAD1
1,HRD1
0,HTZ1
-6,"ADE5,7"
0,CSE1
1,SEC9
-2,PRS5
-2,MDM20
-2,MSB2
1,NMA2
0,THP1
-2,CUL3
-6,PSH1
0,SWC4
0,PRP18
1,THI20
0,PEX31
0,GAL11
-2,ADH4
-2,NOP12
-5,ZRT1
-2,RFC4
-5,RPL26B
0,ORM1
4,COQ3
-5,RPS25A
3,ADH1
0,GSC2
0,SPO21
6,POP6
8,ATG19
0,AVO1
-8,BRX1
0,RSC1
0,MSB4
0,MUP1
0,ERG25
4,RRI2
1,SPR3
0,PAP2
0,INO4
1,MDY2
0,YGR054W
1,SHR5
0,NDJ1
0,TFC4
1,PKH2
9,NQM1
-2,GCD2
1,HRT1
-6,SLX9
3,PIL1
-5,CDC33
-5,RPL11B
0,MED7
-5,RPL25
-1,PAC10
3,MDH2
1,PEX8
1,TWF1
2,VPS68
0,UPF3
-5,HRP1
-1,SMD1
-8,TRM11
0,COX18
-6,ADE6
8,YGR066C
-5,RPS19A
-5,RPL18A
0,VMA21
0,SRB5
-6,RRP6
-1,CLB1
0,TEL2
0,ESP1
5,HPF1
-8,NOP7
-3,RRP46
-2,VAS1
-2,DCP1
-2,NNF2
-7,PPM2
9,CTT1
1,DRN1
-8,NOP8
-6,RRP40
-6,UTP22
8,HSP10
-8,UTP8
-1,AUS1
0,NUP57
-5,RPS23A
-8,PPT1
0,ERP4
3,MEP1
1,SLG1
1,SGT2
0,SPT6
-8,UTP23
0,DAM1
2,DNL4
4,SHY1
-5,RPL24B
1,GLO4
-3,RSR1
3,CUE5
9,BTN2
2,PEP12
1,SHE4
0,CKB2
-8,ENP2
8,LSB1
-2,DFG16
0,PRE9
1,EXO1
1,HMS1
0,HST3
0,SYF2
0,AHC1
0,PEX4
1,PHB1
8,STI1
5,CYT1
0,PSD2
-5,RPL3
-1,YIP1
0,MSM1
0,ASE1
-8,NOB1
0,GTR2
0,CLC1
3,YOR062C
0,CKA2
0,MRPS35
1,NSR1
-2,TIF4631
0,TOM6
0,CYS4
-5,MTR3
0,RAT1
-7,HGH1
-6,TMA46
0,TFG1
-5,RPS7A
-8,RKI1
0,BUB1
0,WHI5
3,QCR9
0,PBP1
-6,BUD21
0,RNR4
0,OKP1
0,TGL5
-6,RBG2
0,ERG1
1,UFE1
0,TRS33
0,ADE3
0,RPT5
-2,RPO31
1,MVB12
0,PMT6
0,INP53
0,YPP1
-6,ELP2
0,SKI6
-2,PIN2
8,XKS1
0,RGS2
-2,NUP1
0,PDX1
-5,RAS1
2,TDH3
5,CRC1
0,PET54
0,ARP8
0,HSV2
0,CRM1
-6,EFT1
0,CCH1
1,VPS17
0,MRPL9
8,IDH2
-5,RPS0A
0,RGA1
0,CAT5
0,GPI1
0,RSM27
3,TRX2
5,UBP2
8,LSC2
-2,GLN4
-8,SDA1
0,KEL2
-5,RPS28A
0,PFK1
-2,PEX21
-2,SMI1
-10,YHB1
0,PHO81
0,MRPL23
-8,PNO1
2,LSC1
2,AMA1
0,MDM32
-5,MES1
0,TOA1
5,HUA1
5,GSP2
-5,RPS30B
2,RAD2
-1,BUD32
0,COQ6
8,GAC1
0,MPC54
2,ENO1
5,LAS17
0,DCI1
4,GND2
0,MED4
6,DCS2
0,PUP2
1,HEM15
-3,ALE1
0,GCN5
-2,STE4
2,ERV29
0,MGM1
-7,YGR283C
-5,ZUO1
-5,SAS5
-7,PXR1
-6,RET1
-5,RPB10
0,YOR1
0,RTT102
0,TAF1
1,CWC22
-8,NOC2
-6,DED1
0,LIP5
0,YTA7
0,SLH1
-6,EFG1
0,BFR1
0,MET7
-5,PRS3
-8,PUS7
0,SHU1
-5,KIN4
-2,MGE1
3,YHL008C
-2,DFR1
0,STE20
-7,RPL33B
-5,RPB8
-5,RPL14B
3,WTM1
0,MRP4
-3,WTM2
0,HSE1
-1,PAC1
1,ECM29
-3,FSF1
0,VPH1
-5,RPL8A
0,RIM101
-6,GCD1
-2,OCA5
-1,NAT5
4,APM2
0,SPO11
1,CDC31
-3,RPS20
1,DGA1
0,APC5
-5,RPS10A
5,QCR10
0,GPA1
-2,UAF30
0,NEM1
-8,RRS1
0,SNF2
-7,YTM1
-5,CAF20
1,YHR022C
8,FAA1
0,PMT3
0,MAS2
0,MYO1
0,HSH49
1,COT1
-5,RPS27B
-8,YHR020W
0,ARD1
0,VPS29
-8,RPL20B
-8,NOP58
3,YSC84
0,SOD2
0,CPA1
-7,RPL27A
-5,NCP1
0,KRE5
0,SRB2
0,RPA190
0,RPA43
0,RRF1
0,VMA4
0,BCD1
0,VMA10
0,PDR10
1,SNC2
2,SLT2
0,PIH1
0,MIP1
0,RPN1
-2,FRT1
0,LDB19
0,MYO2
-1,GIC1
0,PRE10
0,PRT1
-6,RPP1
0,CUP1-2
1,HAP5
1,FYV4
1,SNX3
0,MED6
1,COX6
8,PYK2
1,SOG2
0,CUP1-1
-8,CIC1
0,MEK1
1,TYE7
0,REV1
1,KSP1
-3,LRP1
6,ALD4
0,NDD1
-2,ERG7
0,NMD2
0,GDH1
-3,RRP4
0,RAD17
1,SCP1
-3,DYS1
3,PCL5
0,GPB1
-5,RPS12
-8,RRP3
0,PIP2
-1,SSZ1
-8,SSF1
0,MRPS16
0,HST2
0,TRA1
8,LSP1
0,SFB3
5,ULA1
0,KIC1
0,NCR1
0,SNF8
6,HXT5
0,HAT1
2,PHR1
0,IPI1
-6,STE12
-8,GAR1
-8,RPF1
0,ISM1
0,LSM12
0,MSH1
-8,NOP4
0,EPT1
0,SSN3
-2,MET31
-2,SET1
-3,EGD1
0,ORC6
0,ERG10
0,UBA4
0,DMA1
0,PHO85
0,SUV3
0,BZZ1
0,GGA2
0,MET12
0,CDC12
0,VTC3
0,ERP5
1,RMI1
0,CWC27
8,ALD6
-5,RPL42B
5,VPS28
3,SUR1
0,YCK1
1,LGE1
2,GRX5
0,ARL3
-1,MNN9
0,VPS16
-5,FUR1
0,SGF11
0,ELC1
0,ARP1
2,PEX18
0,KEL1
-5,RPS6A
0,PRP8
5,YAP1801
1,RLM1
0,SEN54
-1,SPO16
0,MOT1
0,SPO12
0,REC104
-5,ELP3
1,BRO1
-3,RPL21B
0,CRP1
0,ATP4
-3,RPS9A
-8,IMP3
0,MRPL6
0,GPI2
-5,RPC10
0,GND1
-3,IKI1
8,CAR1
0,KOG1
4,SSE1
8,ATG7
0,MGR2
1,MSY1
-8,NMD3
-3,ELP4
3,ENO2
0,ATG21
0,THP2
0,CDC23
2,GLR1
-8,DBP8
-3,SEC62
-1,SCH9
-8,NAN1
-6,MNL1
0,SET5
0,TAF14
-6,SKN7
0,TFB2
0,AIM18
1,VPS30
-5,RPS4B
1,SPC29
4,NVJ1
0,HOS3
0,MDM31
-8,RIX1
1,DBP1
0,MRP51
-8,UTP9
0,PEX25
0,GPI16
0,EGD2
0,ERG9
3,RRD2
0,INP51
0,YPL150W
5,PEP4
0,BET1
-7,CFD1
0,RAD53
-5,IMD2
1,RPL33A
-8,NOP53
8,ISU1
0,SPP1
0,COX11
-5,RPL5
-6,BAT1
-5,RPL2B
0,TRE1
2,VID28
-1,SPT14
1,TCO89
-8,FAF1
8,ATG29
0,PDR11
0,MRPL40
-2,FAA3
0,EST3
8,SET6
1,MLH3
0,BEM4
-5,URM1
-6,CDC60
0,NAS2
-5,RPL7B
-2,RSA1
3,BCY1
-2,PRM3
0,CKA1
0,APL5
0,DDC1
3,CAP2
0,IRR1
0,SSM4
0,NAB3
0,TIM44
0,RPB3
-6,RTT10
4,UIP4
-5,BMS1
0,YRB2
-2,YPL216W
2,ARC15
1,PCL8
0,PCI8
2,FIS1
0,SAR1
-8,NIP7
0,SNP1
0,LEA1
0,RKM1
-5,RPL34B
3,PCL7
-8,TYW1
0,SRP72
0,IPL1
0,CSM4
0,HRR25
8,TPK2
-2,LYS12
4,FYV10
0,PRK1
8,HSP82
-1,FAS2
-5,SUI3
0,RVB2
-8,NEW1
-8,AIR1
1,SPO22
-5,RPL1A
0,RPN2
8,SDP1
0,THI21
0,HOS4
0,NUP159
2,FUM1
0,BBP1
-2,HFI1
8,COX5B
-7,CLN2
0,SEC24
-6,SHQ1
-6,DPH1
1,GYP5
0,VIK1
0,MOB1
-6,YAH1
1,SLM1
-2,SRP68
0,IQG1
0,FMC1
8,YPL247C
8,XBP1
-5,RPL16A
1,CIT3
0,TAO3
0,CSM2
-3,FKH1
0,ATP15
-2,MET18
0,STH1
0,POG1
-8,DIM1
3,POT1
0,ATP20
0,MCM4
0,BNR1
0,EAF3
0,YIL161W
6,GUT2
-5,TIF6
3,RRD1
-2,RLF2
-2,DSS4
2,COA1
-2,SLN1
-2,CCT2
-2,MCM10
-5,RPL40A
-8,RPA135
1,AIM45
0,TMA108
0,PRI1
0,VMA13
0,PAN1
-5,TIF5
0,DSN1
